Time Remaining,Down,Score Difference,Distance to First,Distance to Touchdown,Outcome,Previous Play Outcome,Play Type_field goal attempt,Play Type_kick attempt,Play Type_kneel,Play Type_pass,Play Type_punt,Play Type_rush left,Play Type_rush middle,Play Type_rush right,Best_field goal attempt,Best_kick attempt,Best_kneel,Best_pass,Best_punt,Best_rush left,Best_rush middle,Best_rush right
900,2,-20,2,2,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
900,3,-20,2,2,-2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
772,4,-20,4,4,0,-2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
772,1,-20,10,60,9,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
772,2,-20,1,51,0,9,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
772,3,-20,1,51,35,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
772,1,-20,10,26,32,35,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
772,1,-20,4,4,0,32,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
772,2,-20,4,4,-2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
562,3,-20,6,6,66,-2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
562,1,-20,10,3,0,66,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
241,1,-13,10,94,7,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
241,2,-13,3,87,0,7,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
241,3,-13,3,87,20,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
241,1,-13,10,77,33,20,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
241,1,-13,10,54,0,33,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
137,1,-13,10,25,95,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
137,1,-13,10,3,0,95,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3600,1,0,10,75,25,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3600,1,0,10,60,5,25,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3600,2,0,5,55,6,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3600,1,0,10,49,3,6,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3600,1,0,10,99,5,3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3600,2,0,5,94,5,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3600,1,0,10,89,23,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3600,1,0,10,76,4,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3600,2,0,6,72,0,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3600,3,0,6,72,9,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3600,1,0,10,63,0,9,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3600,2,0,11,64,58,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3600,1,0,10,16,0,58,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3143,2,0,10,16,7,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3143,3,0,3,9,0,7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3143,4,0,2,8,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3143,1,0,10,78,25,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3143,1,0,10,63,4,25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3143,2,0,6,59,0,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3143,3,0,6,59,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
3143,4,0,6,59,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
3143,1,0,10,66,6,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
3143,2,0,4,60,3,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
3143,3,0,1,57,0,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2700,4,0,2,58,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2700,1,0,10,68,-2,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2700,2,0,12,70,9,-2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2700,3,0,3,61,0,9,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2700,4,0,3,61,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2700,1,0,10,81,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2700,2,0,9,80,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2700,3,0,9,80,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2700,4,0,9,80,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2318,1,-7,10,75,5,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2318,2,-7,5,70,16,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2318,1,-7,10,64,4,16,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2318,2,-7,6,60,10,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2318,1,-7,10,50,0,10,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2318,2,-7,10,50,7,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2318,3,-7,3,43,47,7,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2318,1,-7,6,6,5,47,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2318,2,-7,1,1,0,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2050,3,-7,1,1,60,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2050,1,-7,10,3,0,60,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1150,1,0,10,75,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1150,2,0,10,75,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1150,3,0,10,75,73,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1150,1,0,10,12,3,73,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1150,2,0,7,9,0,3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
939,3,0,12,14,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
934,4,0,12,14,10,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1800,1,3,10,79,0,10,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1800,2,3,11,80,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1800,1,3,10,80,-3,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1800,2,3,13,83,28,-3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1800,1,3,10,65,0,28,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1800,2,3,10,65,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1800,3,3,10,65,23,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1800,1,3,10,52,0,23,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1800,2,3,9,51,29,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1800,1,3,10,32,6,29,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1800,2,3,4,26,0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1800,1,3,10,22,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1800,2,3,10,22,32,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1106,1,3,10,3,0,32,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1106,1,10,10,85,40,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
971,1,10,10,55,125,40,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
971,1,10,10,3,0,125,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
736,1,17,10,74,9,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
736,2,17,1,65,39,9,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
736,1,17,10,36,4,39,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
736,2,17,6,32,-17,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
736,3,17,23,49,0,-17,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
736,4,17,23,49,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
736,1,17,10,71,-2,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
736,2,17,12,73,0,-2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
